Title,Price,Tags
BlazBlue Centralfiction,Rp 53 999,"Anime, Fighting, 2D Fighter, Great Soundtrack"
Middle-earth™: Shadow of War™ Expansion Pass,Rp 86 100,"Action, Adventure, RPG, Gambling"
Karnage Chronicles,Rp 113 899,"VR, RPG, Adventure, Action"
Warhammer: Vermintide 2 - Winds of Magic,Rp 54 499,"Action, Gore, Violent, Co-op"
STRIDE,Rp 81 749,"Action, Simulation, Sports, Adventure"
Pacer,Rp 135 999,"Fast-Paced, Combat Racing, Futuristic, Sports"
Cooking Simulator,Rp 65 399,"Simulation, Cooking, Realistic, Singleplayer"
ATLAS,Rp 69 999,"Survival, Open World, Pirates, Massively Multiplayer"
Founders' Fortune,Rp 87 199,"Colony Sim, Base Building, Simulation, City Builder"
PGA TOUR 2K21,Rp 345 000,"Sports, Simulation, Golf, Local Multiplayer"
Warhammer: End Times - Vermintide,Rp 19 999,"Action, Online Co-Op, Co-op, Dark Fantasy"
